C,A,L,final_value,total_return,avg_picks
0.45,0.1,0.15,673548.32,5.7355,1.00
0.45,0.15000000000000002,0.0,486536.77,3.8654,62.72
0.45,0.15000000000000002,0.05,269414.13,1.6941,1.33
0.45,0.15000000000000002,0.1,647657.64,5.4766,1.33
0.45,0.15000000000000002,0.15,673548.32,5.7355,1.00
0.45,0.2,0.0,494198.66,3.9420,60.57
0.45,0.2,0.05,315326.25,2.1533,1.29
0.45,0.2,0.1,765709.34,6.6571,1.50
0.45,0.2,0.15,673548.32,5.7355,1.00
0.45,0.25,0.0,494203.21,3.9420,58.58
0.45,0.25,0.05,315326.25,2.1533,1.29
0.45,0.25,0.1,765709.34,6.6571,1.50
0.45,0.25,0.15,673548.32,5.7355,1.00
0.45,0.3,0.0,493587.38,3.9359,57.45
0.45,0.3,0.05,422437.59,3.2244,1.31
0.45,0.3,0.1,765709.34,6.6571,1.50
0.45,0.3,0.15,673548.32,5.7355,1.00
0.45,0.35000000000000003,0.0,511205.51,4.1121,56.28
0.45,0.35000000000000003,0.05,422437.59,3.2244,1.31
0.45,0.35000000000000003,0.1,765709.34,6.6571,1.50
0.45,0.35000000000000003,0.15,673548.32,5.7355,1.00
0.45,0.4,0.0,516503.68,4.1650,55.68
0.45,0.4,0.05,377734.64,2.7773,1.33
0.45,0.4,0.1,765709.34,6.6571,1.50
0.45,0.4,0.15,673548.32,5.7355,1.00
0.45,0.45,0.0,522220.59,4.2222,55.23
0.45,0.45,0.05,377734.64,2.7773,1.33
0.45,0.45,0.1,765709.34,6.6571,1.50
0.45,0.45,0.15,673548.32,5.7355,1.00
0.45,0.5,0.0,518879.88,4.1888,54.87
0.45,0.5,0.05,377734.64,2.7773,1.33
0.45,0.5,0.1,765709.34,6.6571,1.50
0.45,0.5,0.15,673548.32,5.7355,1.00
0.5,0.05,0.0,457012.06,3.5701,66.18
0.5,0.05,0.05,214036.66,1.1404,1.33
0.5,0.05,0.1,647657.64,5.4766,1.00
0.5,0.05,0.15,673548.32,5.7355,0.00
0.5,0.1,0.0,472056.71,3.7206,63.23
0.5,0.1,0.05,214036.66,1.1404,1.33
0.5,0.1,0.1,647657.64,5.4766,1.00
0.5,0.1,0.15,673548.32,5.7355,0.00
0.5,0.15000000000000002,0.0,473345.50,3.7335,60.30
0.5,0.15000000000000002,0.05,252936.79,1.5294,1.29
0.5,0.15000000000000002,0.1,647657.64,5.4766,1.00
0.5,0.15000000000000002,0.15,673548.32,5.7355,0.00
0.5,0.2,0.0,480622.88,3.8062,58.05
0.5,0.2,0.05,296040.93,1.9604,1.25
0.5,0.2,0.1,765709.34,6.6571,1.00
0.5,0.2,0.15,673548.32,5.7355,0.00
0.5,0.25,0.0,476735.08,3.7674,56.02
0.5,0.25,0.05,296040.93,1.9604,1.25
0.5,0.25,0.1,765709.34,6.6571,1.00
0.5,0.25,0.15,673548.32,5.7355,0.00
0.5,0.3,0.0,477677.55,3.7768,54.82
0.5,0.3,0.05,396601.35,2.9660,1.27
0.5,0.3,0.1,765709.34,6.6571,1.00
0.5,0.3,0.15,673548.32,5.7355,0.00
