date,market,risk,flattened,leader,volume
2022-02-07,495633.8652482269,276581.4970440779,345018.5446850238,340957.7817237682,2172239.5770605197
2022-02-08,499711.8794326241,278857.1754171097,348288.8704118208,344565.8088353506,2198839.865277355
2022-02-09,507025.70921985817,282938.5551078733,354054.15975740395,351703.39761735103,2244729.2940665786
2022-02-10,497916.6666666666,277855.3822202859,348350.8420099267,346155.15864488384,2205425.664662158
2022-02-11,488098.4042553191,272376.43918086693,343710.2017214197,341404.2009885824,2148066.9754586024
2022-02-14,486502.65957446804,271485.9563392458,340088.8969669015,336122.55335089815,2137041.6143744094
2022-02-15,494348.40425531915,275864.1636438831,345226.99494358356,342729.71338352235,2192617.6298276857
2022-02-16,494902.4822695036,276173.35907500156,346280.2077493929,343847.9615724237,2195152.749218036
2022-02-17,484330.6737588652,270273.9102492615,339315.7185496799,336559.51568266307,2135226.8902381845
2022-02-18,481194.59219858155,268523.86410913104,337777.2268711923,334377.5068250023,2114678.6105535603
2022-02-22,476030.58510638296,265642.162691107,334523.2548239398,331965.40139673365,2088739.5019678508
2022-02-23,467586.43617021275,260930.02432086182,329268.0485235243,326353.48800715304,2041400.8597453777
2022-02-24,474623.2269503546,264856.8062960662,332283.7440079364,331703.2436285684,2077252.0531840303
2022-02-25,485095.3014184397,270700.5999442049,341403.4345585721,339620.0967384921,2126306.8691559457
2022-02-28,483854.1666666666,270008.0021784996,339542.6670851487,338431.6095844005,2123031.9674689067
2022-03-01,476484.9290780142,265895.7029446242,333128.14072186715,331720.6695619119,2075498.9512927309
2022-03-02,485250.44326241134,270787.1746649181,340416.64990622085,338593.53807584784,2120269.7157679433
2022-03-03,482834.66312056733,269439.08258524165,339576.42278946645,337275.17162776244,2099908.414613738
2022-03-04,478911.79078014183,267249.978932923,337477.695222149,334100.6463945007,2073870.1641157856
2022-03-07,464793.8829787234,259371.67934802483,327825.1777830637,323736.75175711233,1992870.8962004364
2022-03-08,461269.94680851063,257405.19640611147,325841.14905717305,321666.1582737984,1989524.3155402637
2022-03-09,473636.9680851064,264306.43842867535,332568.62458531244,329572.65294547257,2048485.8262928925
2022-03-10,471498.22695035464,263112.94406455813,332034.418360188,329114.77115062176,2045743.3050361709
2022-03-11,465503.10283687944,259767.44949985645,328535.312794766,325471.5228837263,2019567.5629590368
2022-03-14,462101.06382978725,257868.98955278916,327096.9676871631,325243.95932475803,1997570.542278605
2022-03-15,472262.8546099291,263539.63375950156,332195.4759315701,329744.03125421115,2049119.7452693735
2022-03-16,482734.92907801416,269383.4274076403,338527.80983957043,337760.30507640995,2108211.3719519046
2022-03-17,488774.3794326241,272753.65760683146,342822.3543252862,342880.8610865364,2135288.3346354556
2022-03-18,492597.5177304964,274887.1060815488,345340.90516961704,345948.79876868724,2169503.849334596
2022-03-21,492453.45744680846,274806.71526945796,345108.81722144806,345979.7133214002,2171019.6721299523
2022-03-22,498215.8687943262,278022.34775308985,347458.44870716427,349151.7671178054,2194241.0857926463
2022-03-23,491799.6453900709,274441.8646607382,343203.1034086497,344705.66161005135,2165311.383892186
2022-03-24,499213.20921985817,278578.8995291031,347151.4705110979,349556.23833937995,2214612.3856993373
2022-03-25,501651.1524822695,279939.35942602425,349973.3113043938,351230.3983964767,2224617.3550718827
2022-03-28,505219.41489361704,281930.5780024271,350375.74850672565,351894.38342988444,2239004.258609227
2022-03-29,511469.41489361704,285418.30246544327,355485.78396573686,357249.32846883615,2268183.4839826203
2022-03-30,508311.1702127659,283655.88850806805,353183.5254644508,354687.9167301514,2244940.513644932
2022-03-31,500487.58865248226,279290.04902067553,348402.96933250513,350208.4887588828,2208366.7590065547
2022-04-01,501906.0283687943,279290.04902067553,349683.1649626274,348658.88824291236,2206534.5072268103
2022-04-04,506205.6737588653,279259.50214885874,349736.09018486727,350178.43337004416,2228537.071980892
2022-04-05,499811.61347517726,279228.95527704194,346046.0574436931,342756.26161564287,2187380.747746419
2022-04-06,494813.829787234,279259.50214885874,344365.5454736895,338885.5658787734,2155938.246629572
2022-04-07,497307.1808510638,279259.50214885874,345403.9082663299,339006.0428475774,2157865.5179274622
2022-04-08,495977.39361702127,279228.95527704194,346050.2092463166,339321.259207467,2146754.000905589
2022-04-11,487500.0,279259.50214885874,342536.50451211917,337117.8346722396,2104277.688364067
2022-04-12,485693.7056737589,279259.50214885874,341494.2101858613,337323.8244057195,2098070.8594254893
2022-04-13,491256.6489361702,279259.50214885874,345199.8147742208,341101.447164182,2129491.7449991405
2022-04-14,485139.6276595745,279228.95527704194,342918.8520655151,337025.35488620197,2099849.7246664087
2022-04-18,485339.09574468085,279259.50214885874,342127.9775146154,336487.8126510992,2105813.7842275146
2022-04-19,493173.75886524824,279228.95527704194,348175.773884171,345043.9370953332,2141978.1017916445
2022-04-20,492808.0673758865,279290.04902067553,350478.8608550326,343259.74777345837,2132532.975966969
2022-04-21,485438.829787234,279290.04902067553,345473.18082318804,338474.4210931537,2097223.809863124
2022-04-22,472118.7943262411,279259.50214885874,336000.55672742764,326875.93539390934,2039159.0759466642
2022-04-25,474855.93971631204,279290.04902067553,336988.7939293481,328465.56768613454,2050888.8809000752
2022-04-26,461103.72340425535,279259.50214885874,329020.96143540594,319578.6867631579,1990363.625704437
2022-04-27,462400.26595744677,279259.50214885874,329607.9291458604,319303.37586522073,1986759.7706819125
2022-04-28,474080.2304964539,279320.5958924923,335517.12588285794,325690.15081314056,2042432.9831499876
2022-04-29,456560.28368794324,279259.50214885874,325239.3590914944,316541.5626620139,1963457.0829951137
2022-05-02,459308.5106382979,279290.04902067553,325986.6641634264,319613.3208247464,1983088.8357381197
2022-05-03,461414.0070921986,279259.50214885874,328767.15678290674,319376.8769760276,1998883.3984431191
2022-05-04,475465.42553191487,279320.5958924923,337969.01085185347,327196.11483771773,2059088.1861719924
2022-05-05,458566.0460992908,279320.5958924923,327662.93849887623,314778.2749476833,1980566.5446498098
2022-05-06,455828.9007092198,279320.5958924923,324686.03135129093,308783.48623151024,1967436.8197847386
2022-05-09,441234.4858156028,279290.04902067553,315174.3244860103,297563.83476496575,1897864.9041274108
2022-05-10,442253.9893617021,279290.04902067553,313739.95843157277,295584.99059971934,1903982.2682359943
2022-05-11,435228.28014184395,279290.04902067553,309752.7117285176,287728.138556822,1864992.2606409646
2022-05-12,434773.93617021275,279320.5958924923,311068.30133883737,298688.26872291905,1860186.663694259
2022-05-13,445168.4397163121,279351.142764309,318134.55421168735,307113.83393318154,1915734.1794539846
2022-05-16,443362.14539007086,279320.5958924923,316975.3956421546,306697.47078398714,1904237.4015770364
2022-05-17,452482.26950354606,279320.5958924923,323621.48761232494,314372.1270941435,1947414.740632913
2022-05-18,434242.02127659577,279320.5958924923,311185.6371562521,301696.0517657457,1861020.9911454485
2022-05-19,431582.4468085106,279381.68963612575,310385.7094440992,299820.6902567114,1845619.094316857
2022-05-20,431770.8333333333,279381.68963612575,310492.484293762,301239.46113083547,1841896.4685233645
2022-05-23,439849.29078014183,279381.68963612575,314742.93299556355,303902.6681946261,1876346.4379602005
2022-05-24,436491.5780141844,279351.142764309,312842.69929026166,299039.4371863773,1853073.8547023092
2022-05-25,440347.9609929078,279381.68963612575,316441.10466270585,305660.5947401261,1879068.2866217305
2022-05-26,449146.719858156,279442.78337975935,323077.9461123282,314976.973239711,1925809.3447041844
2022-05-27,460172.8723404255,279381.68963612575,330317.25324387394,323128.75173166225,1975493.3740444744
2022-05-31,457590.86879432626,279351.142764309,327246.3207542274,321188.5429716224,1968136.2618278898
2022-06-01,453889.62765957444,279259.50214885874,323819.7880875932,317106.73763502843,1952168.8130979068
2022-06-02,462533.24468085106,279320.5958924923,329425.28212918155,324180.53818815,1989798.2272198214
2022-06-03,454942.37588652485,279259.50214885874,325543.5833879627,319778.17455468,1952326.2199771989
2022-06-06,456327.57092198584,279290.04902067553,326662.04357702646,319846.74121142144,1959149.1486597816
2022-06-07,460704.78723404254,279259.50214885874,329767.28063205443,322885.01106391597,1975903.5515491378
2022-06-08,455695.9219858156,279290.04902067553,324305.58642563986,319949.813373581,1951184.1623685432
2022-06-09,444858.1560283688,279320.5958924923,316500.6491594324,313393.97191017965,1890749.2153474463
2022-06-10,431959.21985815605,279259.50214885874,308024.18743708957,302999.6402376618,1831123.3212275626
2022-06-13,415558.5106382979,279290.04902067553,295542.0779863446,288674.4362415366,1750843.7497621125
2022-06-14,414306.2943262411,279259.50214885874,293779.9723938591,288892.2749492941,1748643.0624790946
2022-06-15,420212.76595744677,279290.04902067553,296635.1448404732,294264.6028269032,1774769.0475353512
2022-06-16,406305.4078014184,279351.142764309,285917.53993317427,280883.74294879014,1709952.3978201218
2022-06-17,405429.9645390071,279320.5958924923,286619.3319861996,285487.3543476113,1716074.6762864322
2022-06-21,415636.08156028367,279381.68963612575,291924.22380819754,289477.5760700072,1758192.471149327
2022-06-22,414882.5354609929,279412.23650794255,291640.16370670823,287254.45150839584,1751009.2727929018
2022-06-23,418949.46808510635,279412.23650794255,293987.15034701605,291710.2912548252,1761671.5997332062
2022-06-24,432269.50354609924,279351.142764309,303115.83743144514,301401.99414838024,1817090.905460765
2022-06-27,430618.35106382973,279351.142764309,303098.67151521024,299452.9249991936,1812448.2008239608
2022-06-28,421819.59219858155,279412.23650794255,297995.5042968443,294785.92911791435,1776266.8970400123
2022-06-29,421476.0638297872,279442.78337975935,296306.79790442385,290950.64790649444,1766547.5371996418
2022-06-30,418051.8617021277,279473.3302515761,294312.7889380115,287019.1030260996,1746571.1574409418
2022-07-01,422473.40425531915,279290.04902067553,297960.66439201083,291163.380638827,1752502.9480936348
2022-07-05,423271.27659574465,279290.04902067553,297160.5574326635,290326.963589065,1767678.6753119242
2022-07-06,424700.7978723404,279290.04902067553,297131.53168407036,289595.817437713,1771216.498038674
2022-07-07,431061.6134751773,279290.04902067553,301550.64946951106,295017.91586076707,1812692.3029063523
2022-07-08,430707.0035460993,279259.50214885874,300377.1035952847,293731.17381290265,1808915.337426286
2022-07-11,425786.79078014183,279290.04902067553,297467.0608994545,289652.7045024499,1772975.041222198
2022-07-12,422019.0602836879,279259.50214885874,296062.34653894097,288117.5053897933,1767488.158328133
2022-07-13,419802.74822695035,279259.50214885874,294453.4092811012,286529.6582213303,1763105.8728915367
2022-07-14,418783.24468085106,279290.04902067553,292012.3230227369,283336.61384205316,1759727.6855191563
2022-07-15,426784.13120567374,279259.50214885874,297798.6310766999,289274.6988544989,1800544.1111370947
2022-07-18,423260.195035461,279259.50214885874,296546.5714203218,288672.13679310016,1799387.7224659119
2022-07-19,434696.3652482269,279259.50214885874,305533.95627051033,298204.0683579557,1861167.192374118
2022-07-20,437466.7553191489,279259.50214885874,307551.40531015885,301339.16749769513,1889240.6974695872
2022-07-21,441921.5425531915,279351.142764309,309722.2526993333,303612.2069587401,1905613.3368388512
2022-07-22,437821.3652482269,279381.68963612575,307749.3379833977,301512.01813008555,1876638.2851024903
2022-07-25,438353.28014184395,279351.142764309,308748.8021957207,302819.93540296715,1872660.4887374274
2022-07-26,433167.10992907797,279351.142764309,306157.95293595205,299401.18406284053,1839118.176851639
2022-07-27,444414.89361702127,279351.142764309,312347.36318193655,306741.85673391353,1905880.3869223688
2022-07-28,449988.9184397163,279381.68963612575,317074.34491957177,311339.0559453314,1926087.5547497368
2022-07-29,456549.2021276596,279412.23650794255,319925.1663566206,314315.32559347985,1957977.4425562606
2022-08-01,455197.2517730496,279137.31466159166,319251.2534402789,312850.930281342,1962979.8311667338
2022-08-02,452194.1489361702,279167.86153340846,317082.0428390999,311016.8057070906,1951791.8549919385
2022-08-03,459275.26595744677,279137.31466159166,320241.1667844896,312021.8209411012,1989592.4514744056
2022-08-04,458964.9822695035,279198.40840522526,319489.53489645914,310529.8262399785,1993115.1457614694
2022-08-05,458189.2730496454,279259.50214885874,319769.3789993951,311423.88752342685,1983770.7432656214
2022-08-08,457657.3581560284,279290.04902067553,320747.4427145009,312795.91357515956,1963398.7735523572
2022-08-09,455839.9822695036,279259.50214885874,318712.2657515074,309998.06761580013,1939469.2713402957
2022-08-10,465414.45035460993,279290.04902067553,325754.14469351765,317522.65730672807,1995497.274303583
2022-08-11,465414.45035460993,279290.04902067553,327096.83014612057,319710.92744844157,1997242.2698604004
2022-08-12,473293.43971631204,279351.142764309,332353.48255204066,324724.44958953094,2040834.4342831473
2022-08-15,475243.7943262411,279320.5958924923,332901.7366233215,324693.5885009409,2050092.796809837
2022-08-16,476174.6453900709,279351.142764309,333956.3530826048,325795.7604006879,2054495.4548249287
2022-08-17,472794.76950354606,279351.142764309,330622.2340239881,321726.56469935615,2027172.3850586137
2022-08-18,474168.8829787234,279473.3302515761,331736.59351529717,323462.23022641306,2040239.3792625223
2022-08-19,467796.9858156028,279473.3302515761,327296.59972020733,318479.773931888,1996469.2194567514
2022-08-22,458056.2943262411,279503.8771233928,320140.8662188867,310843.15897568176,1941965.910046071
2022-08-23,456948.1382978723,279442.78337975935,319801.57509119867,311006.9096211053,1944764.8704497803
2022-08-24,458410.90425531915,279534.4239952096,321419.92074941215,313048.3643170833,1952142.2031215057
2022-08-25,464882.5354609929,279564.97086702636,326307.47467028117,318192.46043644234,1991472.045449448
2022-08-26,449146.719858156,279564.97086702636,315649.7606788454,307792.1146953813,1904825.1181104425
2022-08-29,446176.8617021276,279564.97086702636,313910.43974493805,306460.6660175552,1886898.0133072066
2022-08-30,441278.81205673754,279595.51773884316,310513.65324490104,302967.293210645,1864053.3639114236
2022-08-31,437921.09929078014,279656.61148247664,308100.64478029654,300804.7256526152,1843314.3408670316
2022-09-01,439295.21276595746,279290.04902067553,308340.56502899603,301161.9749277012,1827957.3130164682
2022-09-02,434663.1205673759,279320.5958924923,306029.4674683796,299178.53919898486,1810629.1183762248
2022-09-06,433023.04964539007,279320.5958924923,305083.32515348546,298161.5617028463,1797757.2240096133
2022-09-07,440802.30496453895,279351.142764309,311918.80486525956,305080.2979880356,1834209.7340082852
2022-09-08,443683.5106382978,279412.23650794255,314592.486543577,308774.2495606894,1850589.1310651824
2022-09-09,450576.24113475176,279412.23650794255,319017.4215287866,313783.0732964295,1883837.1040403626
