ticker,entry_1,exit_1,entry_2,exit_2,entry_3,exit_3,num_entries,num_exits
BDK,1996-01-02,2010-03-11,,,,,1,1
HET,1996-01-02,2008-01-24,,,,,1,1
SNT,1996-01-02,1999-10-25,,,,,1,1
BSX,1996-01-02,,,,,,1,0
RML,1996-01-02,2000-12-11,,,,,1,1
CYR,1996-01-02,1996-03-25,,,,,1,1
PGL,1996-01-02,2007-02-16,,,,,1,1
SGID,1996-01-02,2000-06-20,,,,,1,1
NLC,1996-01-02,1999-07-30,,,,,1,1
TMC.A,1996-01-02,2000-06-09,,,,,1,1
SLB,1996-01-02,,,,,,1,0
ACV,1996-01-02,2006-11-16,,,,,1,1
TAP,1996-01-02,,,,,,1,0
PET,1996-01-02,1998-06-26,,,,,1,1
JOS,1996-01-02,2000-05-09,,,,,1,1
AR,1996-01-02,1999-10-26,,,,,1,1
IPG,1996-01-02,,,,,,1,0
LB,1996-01-02,2021-07-21,,,,,1,1
PDG,1996-01-02,2002-07-18,,,,,1,1
UMG,1996-01-02,2000-06-13,,,,,1,1
LPX,1996-01-02,2006-11-07,,,,,1,1
AMP,1996-01-02,1999-03-30,2005-10-03,,,,2,1
SVU,1996-01-02,2012-04-30,,,,,1,1
BKB,1996-01-02,1999-09-30,,,,,1,1
BUD,1996-01-02,2008-11-17,,,,,1,1
AVY,1996-01-02,,,,,,1,0
LSI,1996-01-02,2014-05-06,,,,,1,1
EFU,1996-01-02,2000-10-30,,,,,1,1
TGNA,1996-01-02,2017-05-23,,,,,1,1
MWV,1996-01-02,2015-07-01,,,,,1,1
CVS,1996-01-02,,,,,,1,0
TGT,1996-01-02,,,,,,1,0
BFO,1996-01-02,2000-10-02,,,,,1,1
PCG,1996-01-02,2019-01-11,2022-10-03,,,,2,1
THC,1996-01-02,2016-04-15,,,,,1,1
FJ,1996-01-02,2000-11-22,,,,,1,1
PBY,1996-01-02,2000-03-29,,,,,1,1
AVP,1996-01-02,2015-03-19,,,,,1,1
CRR,1996-01-02,1997-05-19,,,,,1,1
RNB,1996-01-02,1999-12-31,,,,,1,1
TLAB,1996-01-02,2011-12-20,,,,,1,1
TA,1996-01-02,1999-07-20,,,,,1,1
CMI,1996-01-02,,,,,,1,0
CPQ,1996-01-02,2002-05-01,,,,,1,1
HPH,1996-01-02,1999-06-08,,,,,1,1
COMS,1996-01-02,2000-07-27,,,,,1,1
FCX,1996-01-02,,,,,,1,0
OXY,1996-01-02,,,,,,1,0
